﻿KOMMUNE;KOMMUNENUMMER;Bolig-Norgespris;Bolig-alle;Bolig-andel;Fritid-Norgespris;Fritid-alle;Fritid-andel;incr_oct;incr_nov;incr_dec;incr_Q4;incr_jan;incr_feb;incr_mar;incr_Q1; okt_2025 ; nov_2025 ; des_2025 ; q4_2025 ;jan_2026;feb_2026;mar_2026; q1_2026 ;okt_2024;nov_2024;des_2024; q4_2024 ;jan_2025;feb_2025;mar_2025; q1_2025;Fylke;Region;incr_jan;;MUNICIPALITY_NUMBER;NAME;okt_2024;nov_2024;des_2024;jan_2024;feb_2024;mar_2024;apr_1_5_2024;sum_2024;okt_2025;nov_2025;des_2025;jan_2025;feb_2025;mar_2025;apr_1_5_2025;sum_2025;okt_2026;nov_2026;des_2026;jan_2026;feb_2026;mar_2026;apr_1_5_2026;sum_2026;sesong_2024_2025;sesong_2025_2026;sum_alle_valgte_perioder;;;;;;;
Flakstad;1859;0;637;0;0;265;0 %;-5 %;5 %;-8 %;-3 %;9 %;13 %;-6 %;5 %; 1 271 309 ; 1 592 432 ; 1 707 028 ; 4 570 769 ; 1 978 313 ; 1 744 104 ; 1 619 249 ; 5 341 666 ; 1 343 064 ; 1 514 607 ; 1 850 157 ; 4 707 828 ; 1 810 812 ; 1 541 001 ; 1 728 487 ; 5 080 300 ;Nordland;NO4;0,085;0;1859;Flakstad;1343063,891;1514606,885;1850157,355;1860633,81;1695034,87;1651876,889;287861,442;10203235,14;1271309,203;1592431,659;1707028,397;1810812,156;1541000,836;1728487,204;260769,062;9911838,517;;;;1978312,916;1744104,328;1619248,987;221460,89;5563127,121;10048897,39;10133896,38;25678200,78;;;;;;;
Vestvågøy;1860;0;5684;0;0;1105;0 %;-2 %;10 %;-5 %;1 %;11 %;15 %;-6 %;6 %; 9 962 240 ; 12 645 699 ; 13 324 812 ; 35 932 751 ; 15 606 421 ; 13 510 997 ; 12 208 810 ; 41 326 228 ; 10 130 493 ; 11 541 520 ; 13 959 702 ; 35 631 715 ; 14 051 368 ; 11 761 029 ; 13 055 960 ; 38 868 357 ;Nordland;NO4;0,084;0;1860;Vestvågøy;10130492,63;11541520,07;13959702,17;14467143,45;12859975,04;12348411,88;2138094,505;77445339,74;9962240,044;12645699,01;13324812,01;14051367,66;11761029,43;13055960,31;1962795,671;76763904,13;;;;15606421,04;13510996,77;12208809,86;1564902,858;42891130,53;76462867,94;78823881,59;197100374,4;;;;;;;
Vågan;1865;0;4836;0;0;1012;0 %;-1 %;11 %;-2 %;2 %;10 %;14 %;-7 %;6 %; 7 726 566 ; 10 017 710 ; 10 597 087 ; 28 341 364 ; 12 579 429 ; 10 851 200 ; 9 769 630 ; 33 200 260 ; 7 788 646 ; 9 044 057 ; 10 837 652 ; 27 670 355 ; 11 390 455 ; 9 498 399 ; 10 531 533 ; 31 420 387 ;Nordland;NO4;0,079;0;1865;Vågan;7788645,543;9044057,424;10837652,39;11372114,92;10064155,32;9671671,546;1663036,432;60441333,57;7726566,451;10017710,2;10597086,85;11390454,59;9498399,405;10531533,2;1582274,486;61344025,19;;;;12579429,3;10851200,13;9769630,069;1238021,792;34438281,29;60673017,04;62779644,8;156223640,1;;;;;;;
Hadsel;1866;0;4353;0;0;523;0 %;-2 %;9 %;-5 %;1 %;10 %;12 %;-9 %;4 %; 6 964 263 ; 8 944 073 ; 9 501 695 ; 25 410 031 ; 11 082 613 ; 9 343 912 ; 8 369 646 ; 28 796 172 ; 7 078 071 ; 8 182 563 ; 9 965 886 ; 25 226 520 ; 10 115 238 ; 8 307 643 ; 9 167 286 ; 27 590 167 ;Nordland;NO4;0,073;0;1866;Hadsel;7078071,248;8182562,792;9965886,362;10341018,24;8985623,066;8471007,207;1484781,896;54508950,81;6964263,35;8944072,851;9501695,168;10115238,01;8307642,578;9167286,483;1371127,527;54371325,97;;;;11082613,18;9343912,303;8369646,047;1092982,751;29889154,28;54187815;55299185,65;138769431,1;;;;;;;
Bø;1867;0;1544;0;0;612;0 %;-4 %;7 %;-6 %;-1 %;8 %;11 %;-8 %;3 %; 2 706 840 ; 3 484 107 ; 3 735 486 ; 9 926 432 ; 4 325 728 ; 3 632 290 ; 3 308 634 ; 11 266 653 ; 2 828 118 ; 3 241 856 ; 3 965 944 ; 10 035 918 ; 4 011 094 ; 3 267 407 ; 3 607 162 ; 10 885 663 ;Nordland;NO4;0,058;0;1867;Bø;2828117,544;3241856,149;3965943,892;4046230,646;3532094,629;3377081,885;574113,468;21565438,21;2706839,848;3484106,697;3735485,712;4011093,598;3267406,589;3607162,387;542524,904;21354619,74;;;;4325728,41;3632290,086;3308634,032;467257,604;11733910,13;21464105,06;21660342,39;54653968,08;;;;;;;
Øksnes;1868;0;2226;0;0;377;0 %;-5 %;7 %;-5 %;-1 %;8 %;12 %;-8 %;4 %; 3 819 489 ; 4 883 195 ; 5 244 528 ; 13 947 212 ; 6 082 599 ; 5 115 912 ; 4 681 716 ; 15 880 226 ; 4 005 558 ; 4 568 468 ; 5 522 072 ; 14 096 097 ; 5 609 264 ; 4 577 603 ; 5 085 567 ; 15 272 434 ;Nordland;NO4;0,059;0;1868;Øksnes;4005557,641;4568467,906;5522071,581;5828920,781;5062961,003;4764748,702;844238,193;30596965,81;3819489,117;4883194,968;5244528,153;5609263,912;4577602,81;5085567,078;765223,785;29984869,82;;;;6082598,666;5115911,972;4681715,734;633937,047;16514163,42;30133754,71;30461375,66;77095999,05;;;;;;;
Sortland;1870;0;5134;0;0;407;0 %;-3 %;8 %;-5 %;0 %;8 %;13 %;-7 %;5 %; 8 373 783 ; 10 682 979 ; 11 267 939 ; 30 324 701 ; 13 198 610 ; 11 104 975 ; 10 046 523 ; 34 350 109 ; 8 608 109 ; 9 858 718 ; 11 903 360 ; 30 370 188 ; 12 171 790 ; 9 866 721 ; 10 807 736 ; 32 846 247 ;Nordland;NO4;0,055;0;1870;Sortland;8608109,007;9858718,492;11903360,01;12486238,86;10748342,62;10142578,79;1790914,945;65538262,72;8373783,106;10682979,01;11267938,63;12171790,27;9866721,188;10807735,93;1621366,02;64792314,16;;;;13198609,86;11104975,39;10046523,31;1310267,862;35660376,43;64837800,93;65985077,17;165990953,3;;;;;;;
Andøy;1871;0;2467;0;0;499;0 %;-2 %;9 %;-4 %;1 %;9 %;13 %;-8 %;4 %; 4 177 710 ; 5 386 359 ; 5 828 631 ; 15 392 700 ; 6 706 369 ; 5 647 723 ; 5 146 521 ; 17 500 613 ; 4 274 455 ; 4 948 272 ; 6 057 259 ; 15 279 986 ; 6 157 907 ; 5 010 820 ; 5 604 828 ; 16 773 555 ;Nordland;NO4;0,078;0;1871;Andøy;4274454,51;4948272,324;6057258,942;6287661,322;5291728,028;5132393,807;913835,896;32905604,83;4177710,283;5386358,933;5828630,563;6157906,887;5010819,858;5604827,863;831949,192;32998203,58;;;;6706368,958;5647722,859;5146521,036;690364,537;18190977,39;32885489,58;33583677,17;84094785,8;;;;;;;
Moskenes;1874;0;535;0;0;270;0 %;-8 %;2 %;-11 %;-6 %;7 %;13 %;-8 %;4 %; 1 023 704 ; 1 261 062 ; 1 317 571 ; 3 602 336 ; 1 556 148 ; 1 409 262 ; 1 298 689 ; 4 264 099 ; 1 108 245 ; 1 231 325 ; 1 485 144 ; 3 824 715 ; 1 458 461 ; 1 247 482 ; 1 404 467 ; 4 110 411 ;Nordland;NO4;0,084;0;1874;Moskenes;1108245,102;1231325,328;1485144,271;1510525,226;1402474,704;1370427,767;235437,308;8343579,706;1023704,12;1261061,602;1317570,543;1458461,361;1247481,974;1404467,418;210500,172;7923247,19;;;;1556148,113;1409261,547;1298689,204;171693,818;4435792,682;8145625,626;8038128,947;20702619,58;;;;;;;
Hamarøy;1875;0;1848;0;0;978;0 %;-1 %;11 %;-3 %;2 %;13 %;19 %;-8 %;8 %; 2 628 036 ; 3 468 029 ; 3 704 208 ; 9 800 273 ; 4 448 273 ; 3 822 398 ; 3 208 617 ; 11 479 288 ; 2 653 185 ; 3 132 159 ; 3 808 748 ; 9 594 092 ; 3 949 194 ; 3 206 857 ; 3 489 790 ; 10 645 841 ;Nordland;NO4;0,101;0;1875;Hábmer;2653185,365;3132159,249;3808747,822;3998308,331;3446922,36;3339419,652;582123,301;20960866,08;2628036,089;3468028,799;3704208,343;3949193,631;3206857,269;3489789,864;523634,11;20969748,11;;;;4448272,814;3822398,088;3208616,771;452290,633;11931578,31;20763567,31;21731851,54;53862192,49;;;;;;;
Halden;3101;8818;16096;0,55;1064;1573;68 %;6 %;3 %;0 %;2 %;20 %;22 %;5 %;16 %; 18 647 816 ; 24 104 244 ; 26 848 334 ; 69 600 395 ; 35 894 605 ; 32 695 506 ; 25 743 994 ; 94 334 105 ; 17 669 803 ; 23 347 812 ; 26 958 716 ; 67 976 331 ; 30 010 171 ; 26 906 291 ; 24 413 151 ; 81 329 613 ;Østfold;NO1;0,111;0;3101;Halden;17669802,56;23347811,81;26958716,34;36102961,59;27709152,87;25260007,35;4032230,829;161080683,3;18647816,46;24104244,27;26848334,47;30010170,82;26906291,05;24413151,39;3175045,92;154105054,4;;;;35894604,92;32695505,94;25743994,11;2996596,03;97330701;152480989,9;166931096,2;412516438,7;;;;;;;
Moss;3103;13588;25537;0,53;999;1606;62 %;7 %;3 %;-1 %;2 %;19 %;22 %;9 %;17 %; 27 835 048 ; 34 826 064 ; 39 705 165 ; 102 366 276 ; 53 054 199 ; 48 200 124 ; 38 968 849 ; 140 223 172 ; 26 077 247 ; 33 970 450 ; 39 959 949 ; 100 007 646 ; 44 475 773 ; 39 495 018 ; 35 728 092 ; 119 698 883 ;Østfold;NO1;0,138;0;3103;Moss;26077247,03;33970449,7;39959948,96;51099026,08;40710091,86;37079027,32;5936801,763;234832592,7;27835047,64;34826063,92;39705164,82;44475772,99;39495018,33;35728091,6;4783569,268;226848728,6;;;;53054199,32;48200123,94;38968849,14;4401678,391;144624850,8;224490097,9;246991127,2;606306172,1;;;;;;;
Sarpsborg;3105;14818;27771;0,53;1719;2555;67 %;18 %;16 %;6 %;13 %;29 %;29 %;21 %;27 %; 35 935 495 ; 46 486 183 ; 49 789 272 ; 132 210 950 ; 67 246 588 ; 60 157 871 ; 51 012 670 ; 178 417 129 ; 30 399 705 ; 39 946 626 ; 46 767 526 ; 117 113 856 ; 51 993 539 ; 46 665 236 ; 42 178 966 ; 140 837 741 ;Østfold;NO1;0,196;0;3105;Sarpsborg;30399705,11;39946625,69;46767525,67;62936725,3;48009776,39;43472180,63;6919633,595;278452172,4;35935495,21;46486183,24;49789271,98;51993538,91;46665235,56;42178966,11;5547302,317;278595993,3;;;;67246587,77;60157871,15;51012670,43;5482788,051;183899917,4;263498899,4;316110867,8;740948083,1;;;;;;;
Fredrikstad;3107;21719;40197;0,54;2597;4141;63 %;7 %;4 %;-1 %;3 %;21 %;21 %;8 %;17 %; 46 971 755 ; 59 986 480 ; 67 808 577 ; 174 766 812 ; 91 163 769 ; 82 543 565 ; 66 484 817 ; 240 192 150 ; 43 957 856 ; 57 934 361 ; 68 385 545 ; 170 277 762 ; 75 639 842 ; 68 302 867 ; 61 808 506 ; 205 751 215 ;Østfold;NO1;0,131;0;3107;Fredrikstad;43957856,19;57934361,46;68385544,6;91334224,03;70541426,43;63701687,46;10086115,74;405941215,9;46971755,24;59986480,24;67808576,86;75639842,3;68302867,09;61808505,82;8103337,985;388621365,5;;;;91163768,61;82543564,55;66484816,85;7504748,682;247696898,7;384132315,4;422463711;1042259480;;;;;;;
Hvaler;3110;1683;2624;0,64;2814;4456;63 %;6 %;4 %;-1 %;2 %;30 %;28 %;13 %;24 %; 4 505 919 ; 5 870 046 ; 6 712 586 ; 17 088 551 ; 9 853 791 ; 9 062 825 ; 7 033 456 ; 25 950 072 ; 4 262 766 ; 5 626 119 ; 6 796 904 ; 16 685 790 ; 7 575 330 ; 7 063 395 ; 6 219 379 ; 20 858 104 ;Østfold;NO1;0,199;0;3110;Hvaler;4262766,168;5626119,285;6796904,425;9306331,358;7219909,562;6847117,736;1045884,282;41105032,82;4505918,566;5870046,004;6712586,447;7575329,735;7063395,339;6219379,016;821179,281;38767834,39;;;;9853791,064;9062824,848;7033456,158;1007795,275;26957867,35;38365073,25;44046418,36;106830734,5;;;;;;;
Råde;3112;1921;3412;0,56;436;679;64 %;7 %;4 %;1 %;4 %;22 %;22 %;9 %;18 %; 4 895 042 ; 6 143 773 ; 7 029 013 ; 18 067 828 ; 9 409 899 ; 8 497 810 ; 6 828 762 ; 24 736 472 ; 4 585 225 ; 5 905 652 ; 6 941 331 ; 17 432 208 ; 7 712 410 ; 6 958 804 ; 6 260 359 ; 20 931 573 ;Østfold;NO1;0,158;0;3112;Råde;4585224,877;5905652,474;6941330,719;9118885,737;7144352,2;6479154,702;1035286,536;41209887,25;4895041,704;6143773,181;7029012,776;7712409,78;6958804,331;6260359,387;829772,905;39829174,06;;;;9409899,492;8497810,424;6828761,734;785918,182;25522389,83;39193554,47;43590217,49;106561451,1;;;;;;;
Våler;3114;2430;4527;0,54;0;333;0 %;8 %;4 %;2 %;4 %;18 %;22 %;9 %;16 %; 3 678 938 ; 4 603 373 ; 5 170 308 ; 13 452 620 ; 6 793 019 ; 6 114 451 ; 4 920 455 ; 17 827 925 ; 3 414 319 ; 4 412 681 ; 5 093 357 ; 12 920 357 ; 5 756 945 ; 5 014 871 ; 4 531 239 ; 15 303 055 ;Østfold;NO1;0,112;0;3114;Våler;3414318,843;4412681,031;5093356,831;6629183,885;5110543,313;4636885,188;741343,651;30038312,74;3678938,048;4603373,324;5170308,389;5756944,978;5014870,915;4531238,855;613073,402;29368747,91;;;;6793018,733;6114450,878;4920454,93;551819,43;18379743,97;28836484,86;31832363,73;77786804,62;;;;;;;
Skiptvet;3116;848;1733;0,49;191;346;55 %;9 %;7 %;3 %;6 %;21 %;25 %;12 %;20 %; 2 429 414 ; 3 036 524 ; 3 436 165 ; 8 902 103 ; 4 523 023 ; 4 105 607 ; 3 291 227 ; 11 919 857 ; 2 222 587 ; 2 847 107 ; 3 345 342 ; 8 415 037 ; 3 737 351 ; 3 281 336 ; 2 947 472 ; 9 966 160 ;Østfold;NO1;0,134;0;3116;Skiptvet;2222587,193;2847107,143;3345342,231;4354371,398;3402462,105;3062873,577;483485,082;19718228,73;2429414,06;3036523,873;3436165,238;3737351,204;3281336,31;2947472,182;388482,767;19256745,63;;;;4523023,224;4105607,358;3291226,824;380295,803;12300153,21;18769679,03;21202256,38;51275127,57;;;;;;;
Indre Østfold;3118;11171;21979;0,51;663;1245;53 %;6 %;3 %;-1 %;2 %;18 %;22 %;7 %;16 %; 27 379 338 ; 34 395 895 ; 38 565 234 ; 100 340 468 ; 51 186 048 ; 46 209 152 ; 36 583 124 ; 133 978 324 ; 25 891 486 ; 33 412 231 ; 38 927 956 ; 98 231 674 ; 43 487 631 ; 37 972 748 ; 34 048 833 ; 115 509 212 ;Østfold;NO1;0,11;0;3118;Indre Østfold;25891486,1;33412230,96;38927956,48;50606636,45;39374868,61;35427065,69;5690715,31;229330959,6;27379338,46;34395894,93;38565234,12;43487631,4;37972747,5;34048833,21;4446444,838;220296124,5;;;;51186047,93;46209152,05;36583123,67;4171893,981;138150217,6;218187330,5;238490685,1;587777301,7;;;;;;;
Rakkestad;3120;1890;3830;0,49;0;155;0 %;6 %;5 %;1 %;4 %;20 %;22 %;8 %;17 %; 4 733 676 ; 5 958 400 ; 6 708 980 ; 17 401 056 ; 8 869 881 ; 7 943 302 ; 6 360 092 ; 23 173 275 ; 4 449 750 ; 5 685 894 ; 6 627 178 ; 16 762 821 ; 7 383 829 ; 6 493 312 ; 5 883 752 ; 19 760 893 ;Østfold;NO1;0,117;0;3120;Rakkestad;4449749,52;5685893,607;6627178,344;8598607,385;6434946,291;5817048,563;932737,786;38546161,5;4733675,814;5958400,097;6708979,904;7383829,198;6493311,559;5883752,282;776818,087;37938766,94;;;;8869880,902;7943302,387;6360091,936;736009,067;23909284,29;37300532,6;41310340,11;100394212,7;;;;;;;
Marker;3122;931;1925;0,48;258;437;59 %;8 %;5 %;0 %;4 %;20 %;23 %;7 %;17 %; 2 479 176 ; 3 102 526 ; 3 518 833 ; 9 100 535 ; 4 711 622 ; 4 296 338 ; 3 299 300 ; 12 307 260 ; 2 304 165 ; 2 958 653 ; 3 501 747 ; 8 764 565 ; 3 925 256 ; 3 500 231 ; 3 093 963 ; 10 519 450 ;Østfold;NO1;0,111;0;3122;Marker;2304165,024;2958652,835;3501747,072;4833427,037;3635678,997;3240059,305;509898,607;20983628,88;2479175,996;3102525,883;3518832,681;3925255,774;3500231,277;3093963,22;405254,852;20025239,68;;;;4711621,925;4296338,347;3299299,663;402563,452;12709823,39;19689270,05;21810357,95;53718691,95;;;;;;;
Aremark;3124;408;730;0,56;370;534;69 %;8 %;5 %;-1 %;3 %;25 %;26 %;6 %;20 %; 994 428 ; 1 301 009 ; 1 465 305 ; 3 760 742 ; 2 068 838 ; 1 900 258 ; 1 397 651 ; 5 366 748 ; 923 430 ; 1 234 452 ; 1 477 458 ; 3 635 339 ; 1 649 141 ; 1 509 451 ; 1 315 477 ; 4 474 069 ;Østfold;NO1;0,14;0;3124;Aremark;923429,645;1234451,671;1477457,642;2074530,543;1542973,59;1382245,176;211888,018;8846976,285;994428,18;1301008,668;1465304,661;1649140,725;1509450,968;1315477,111;170373,233;8405183,546;;;;2068838,471;1900257,73;1397651,451;183677,803;5550425,455;8279780,995;9311166,964;22802585,29;;;;;;;
Bærum;3201;35977;56804;0,63;110;247;45 %;2 %;-2 %;-4 %;-1 %;13 %;18 %;7 %;13 %; 74 017 032 ; 93 271 746 ; 104 375 443 ; 271 664 221 ; 137 114 720 ; 123 044 702 ; 97 849 374 ; 358 008 795 ; 72 255 131 ; 94 720 741 ; 108 624 022 ; 275 599 894 ; 121 420 355 ; 104 334 934 ; 91 863 490 ; 317 618 779 ;Akershus;NO1;0,1;0;3201;Bærum;72255131,35;94720740,81;108624021,7;136793893;106989269,5;94625759,24;15371743;629380558,6;74017031,63;93271745,87;104375443,5;121420354,8;104334934,4;91863489,65;11910270,92;601193270,7;;;;137114719,7;123044701,6;97849374,15;10040682,3;368049477,7;605128943,5;639713698,6;1598623307;;;;;;;
Asker;3203;26962;42233;0,64;1770;3458;51 %;4 %;0 %;-2 %;0 %;15 %;19 %;8 %;14 %; 60 736 335 ; 76 243 639 ; 86 668 380 ; 223 648 354 ; 114 127 268 ; 102 937 025 ; 80 950 048 ; 298 014 341 ; 58 339 574 ; 76 228 583 ; 88 680 267 ; 223 248 424 ; 99 341 806 ; 86 590 943 ; 74 876 527 ; 260 809 276 ;Akershus;NO1;0,116;0;3203;Asker;58339574,32;76228583,19;88680266,55;111645264;87926302,68;78622693,66;12707026,49;514149710,9;60736334,73;76243638,67;86668380,26;99341805,96;86590943,4;74876526,85;9742149,918;494199779,8;;;;114127267,8;102937024,8;80950048,14;8715927,282;306730268;493799850,2;530378621,6;1315079759;;;;;;;
Lillestrøm;3205;21863;40950;0,53;117;273;43 %;4 %;0 %;-3 %;0 %;14 %;18 %;6 %;13 %; 49 418 428 ; 60 980 226 ; 67 714 986 ; 178 113 640 ; 89 185 333 ; 80 821 885 ; 63 496 269 ; 233 503 488 ; 47 393 153 ; 60 929 724 ; 69 826 147 ; 178 149 023 ; 78 148 239 ; 68 296 156 ; 59 721 712 ; 206 166 107 ;Akershus;NO1;0,088;0;3205;Lillestrøm;47393153,08;60929723,51;69826146,78;90192299,89;70774234,27;63169801,92;10209524,34;412494883,8;49418427,88;60980226,07;67714985,75;78148238,89;68296156,21;59721712;7795364,299;392075111,1;;;;89185333,2;80821885,32;63496269,46;6956860,575;240460348,6;392110494,8;418573988,3;1045030343;;;;;;;
Nordre Follo;3207;17137;27499;0,62;115;260;44 %;5 %;1 %;-2 %;1 %;16 %;20 %;8 %;15 %; 36 541 702 ; 45 586 573 ; 51 019 450 ; 133 147 724 ; 66 895 544 ; 60 167 344 ; 48 374 702 ; 175 437 590 ; 34 935 610 ; 45 239 079 ; 51 928 680 ; 132 103 369 ; 57 909 673 ; 50 149 776 ; 44 934 612 ; 152 994 061 ;Akershus;NO1;0,106;0;3207;Nordre Follo;34935610,35;45239078,59;51928680,15;64919176,07;51836572,59;46739795,23;7560516,911;303159429,9;36541701,95;45586572,68;51019449,84;57909673,34;50149776,49;44934611,57;5916699,101;292058485;;;;66895543,62;60167344,4;48374702,14;5221211,089;180658801,3;291014129,6;313806525,7;775876716,1;;;;;;;
Ullensaker;3209;9383;19549;0,48;0;54;0 %;5 %;1 %;-2 %;1 %;14 %;18 %;7 %;13 %; 24 079 657 ; 29 497 838 ; 32 670 656 ; 86 248 151 ; 42 336 597 ; 38 515 245 ; 30 824 549 ; 111 676 391 ; 22 872 939 ; 29 221 697 ; 33 325 674 ; 85 420 309 ; 37 091 185 ; 32 537 615 ; 28 813 570 ; 98 442 369 ;Akershus;NO1;0,088;0;3209;Ullensaker;22872938,95;29221696,63;33325673,69;41523795,52;33292488,31;29766928,35;4825573,167;194829094,6;24079656,72;29497838,38;32670655,66;37091185,02;32537614,5;28813569,85;3798440,263;188488960,4;;;;42336596,59;38515245,24;30824549,03;3428181,347;115104572,2;187661118,9;201352723;498422627,2;;;;;;;
Nesodden;3212;5598;8546;0,66;361;759;48 %;4 %;0 %;-1 %;1 %;15 %;20 %;9 %;15 %; 12 209 347 ; 15 449 787 ; 17 743 362 ; 45 402 497 ; 23 263 420 ; 21 245 432 ; 16 815 939 ; 61 324 792 ; 11 715 309 ; 15 416 231 ; 17 984 727 ; 45 116 266 ; 20 149 507 ; 17 633 152 ; 15 386 595 ; 53 169 255 ;Akershus;NO1;0,117;0;3212;Nesodden;11715308,58;15416230,75;17984727,02;22607984,87;18271553,73;16432908,3;2634605,034;105063318,3;12209347,28;15449787,39;17743362,38;20149507,48;17633152,5;15386594,68;2012249,839;100584001,5;;;;23263420,29;21245432,36;16815939,44;1820317,758;63145109,85;100297770,8;108547606,9;268792429,6;;;;;;;
Frogn;3214;4865;7521;0,65;1402;2186;64 %;4 %;0 %;-1 %;1 %;17 %;23 %;10 %;17 %; 11 380 504 ; 14 337 919 ; 16 543 660 ; 42 262 083 ; 22 065 574 ; 20 076 232 ; 15 969 437 ; 58 111 244 ; 10 901 964 ; 14 329 197 ; 16 747 651 ; 41 978 812 ; 18 859 463 ; 16 370 599 ; 14 475 091 ; 49 705 153 ;Akershus;NO1;0,128;0;3214;Frogn;10901964,18;14329197,27;16747650,68;21114555,14;17012633,93;15332223,89;2445516,894;97883741,99;11380504,2;14337919,01;16543659,74;18859463,13;16370599,49;14475090,6;1930871,986;93898108,14;;;;22065574,36;20076232,39;15969436,84;1789485,288;59900728,88;93614837,33;102162811,8;251682579;;;;;;;
Vestby;3216;5233;8627;0,61;687;1215;57 %;8 %;3 %;1 %;3 %;19 %;23 %;9 %;17 %; 12 171 835 ; 15 178 625 ; 17 242 417 ; 44 592 876 ; 22 849 853 ; 20 785 246 ; 16 512 283 ; 60 147 381 ; 11 296 273 ; 14 782 567 ; 17 127 351 ; 43 206 191 ; 19 279 470 ; 16 888 611 ; 15 079 804 ; 51 247 886 ;Akershus;NO1;0,132;0;3216;Vestby;11296272,78;14782566,88;17127351,09;21814032,98;17152763,01;15495248,57;2484568,651;100152804;12171834,5;15178625,46;17242416,52;19279470,27;16888611,04;15079804,24;2039038,143;97879800,17;;;;22849852,78;20785245,54;16512283,1;1843288,713;61990670,13;96493114,43;106583546,6;260023274,3;;;;;;;
Ås;3218;4866;8056;0,6;145;299;48 %;4 %;0 %;-1 %;0 %;15 %;19 %;8 %;14 %; 11 177 388 ; 13 849 860 ; 15 440 492 ; 40 467 740 ; 20 178 950 ; 18 363 211 ; 14 804 702 ; 53 346 862 ; 10 751 783 ; 13 851 668 ; 15 672 848 ; 40 276 298 ; 17 616 772 ; 15 377 346 ; 13 762 619 ; 46 756 737 ;Akershus;NO1;0,102;0;3218;Ås;10751783,09;13851667,6;15672847,81;19642539,16;15775608,1;14309801,7;2300515,986;92304763,44;11177388,36;13849859,68;15440491,78;17616772,36;15377345,7;13762618,7;1824203,715;89048680,3;;;;20178949,58;18363210,94;14804701,74;1594293,914;54941156,18;88857238,97;95408896;236294599,9;;;;;;;
Enebakk;3220;2748;4665;0,59;326;601;54 %;5 %;1 %;-2 %;1 %;16 %;19 %;6 %;14 %; 7 185 088 ; 9 026 829 ; 10 097 634 ; 26 309 552 ; 13 344 238 ; 11 977 923 ; 9 536 300 ; 34 858 462 ; 6 860 103 ; 8 906 689 ; 10 342 130 ; 26 108 921 ; 11 525 809 ; 10 064 288 ; 8 961 717 ; 30 551 814 ;Akershus;NO1;0,1;0;3220;Enebakk;6860102,905;8906688,882;10342129,68;13135181,2;10467080,12;9391532,95;1508783,701;60611499,44;7185088,091;9026829,392;10097634,46;11525809,28;10064288,09;8961717,058;1177936,725;58039303,09;;;;13344238,39;11977922,93;9536300,25;1073614,375;35932075,95;57838672,62;62241627,89;154582878,5;;;;;;;
Lørenskog;3222;10529;22525;0,47;0;0;#DIV/0!;5 %;1 %;-2 %;1 %;15 %;19 %;7 %;14 %; 22 284 559 ; 27 260 061 ; 30 193 634 ; 79 738 254 ; 39 397 071 ; 35 711 332 ; 28 636 366 ; 103 744 769 ; 21 291 421 ; 27 050 164 ; 30 929 310 ; 79 270 895 ; 34 383 552 ; 30 009 431 ; 26 651 402 ; 91 044 384 ;Akershus;NO1;0,093;0;3222;Lørenskog;21291420,53;27050164,43;30929310,06;38191838,61;30743532,66;27862012,64;4499978,542;180568257,5;22284559,16;27260061,32;30193633,96;34383551,57;30009430,83;26651401,63;3504412,526;174287051;;;;39397071,01;35711332,43;28636365,87;3137853,836;106882623,1;173819691,6;186620877,6;461737931,6;;;;;;;
Rælingen;3224;4706;8352;0,56;0;48;0 %;4 %;1 %;-2 %;0 %;16 %;19 %;8 %;14 %; 10 540 711 ; 12 945 943 ; 14 329 343 ; 37 815 997 ; 18 898 842 ; 17 121 024 ; 13 619 895 ; 49 639 761 ; 10 112 321 ; 12 867 757 ; 14 669 069 ; 37 649 148 ; 16 338 429 ; 14 378 630 ; 12 644 459 ; 43 361 518 ;Akershus;NO1;0,105;0;3224;Rælingen;10112321,23;12867756,88;14669069,41;18479276,9;14806053,43;13391601,94;2175947,701;86502027,49;10540710,63;12945943,39;14329342,99;16338429,2;14378629,94;12644458,73;1657342,965;82834857,83;;;;18898842,28;17121023,74;13619894,6;1491229,428;51130990,05;82668008,35;88946987,05;220467875,4;;;;;;;
Aurskog-Høland;3226;4561;8808;0,52;554;980;57 %;7 %;3 %;-2 %;2 %;16 %;21 %;7 %;15 %; 11 633 545 ; 14 725 004 ; 16 483 965 ; 42 842 514 ; 21 710 557 ; 19 778 816 ; 15 308 419 ; 56 797 792 ; 10 922 028 ; 14 242 768 ; 16 766 643 ; 41 931 439 ; 18 763 089 ; 16 350 714 ; 14 309 564 ; 49 423 366 ;Akershus;NO1;0,085;0;3226;Aurskog-Høland;10922028,22;14242767,52;16766643,37;21851758,68;16706795,79;14814980,92;2378151,487;97683126;11633544,88;14725004,3;16483964,6;18763088,9;16350713,66;14309563,9;1886139,952;94152020,19;;;;21710557,18;19778816,47;15308418,52;1757787,271;58555579,44;93240945,53;101398093,2;250390725,6;;;;;;;
