﻿KOMMUNE;KOMMUNENUMMER;Bolig-Norgespris;Bolig-alle;Bolig-andel;Fritid-Norgespris;Fritid-alle;Fritid-andel;incr_oct;incr_nov;incr_dec;incr_Q4;incr_jan;incr_feb;incr_mar;incr_Q1; okt_2025 ; nov_2025 ; des_2025 ; q4_2025 ;jan_2026;feb_2026;mar_2026; q1_2026 ;okt_2024;nov_2024;des_2024; q4_2024 ;jan_2025;feb_2025;mar_2025; q1_2025;Fylke;Region;incr_jan;;MUNICIPALITY_NUMBER;NAME;okt_2024;nov_2024;des_2024;jan_2024;feb_2024;mar_2024;apr_1_5_2024;sum_2024;okt_2025;nov_2025;des_2025;jan_2025;feb_2025;mar_2025;apr_1_5_2025;sum_2025;okt_2026;nov_2026;des_2026;jan_2026;feb_2026;mar_2026;apr_1_5_2026;sum_2026;sesong_2024_2025;sesong_2025_2026;sum_alle_valgte_perioder;;;;;;;
Time;1121;6279;9030;0,7;0;15;0 %;6 %;6 %;5 %;6 %;23 %;23 %;12 %;20 %; 10 690 799 ; 13 225 554 ; 14 748 401 ; 38 664 754 ; 19 142 975 ; 16 544 399 ; 14 305 347 ; 49 992 720 ; 10 057 341 ; 12 518 415 ; 14 065 896 ; 36 641 652 ; 15 534 032 ; 13 452 995 ; 12 739 272 ; 41 726 299 ;Rogaland;NO2;0,173;0;1121;Time;10057340,78;12518414,68;14065896,08;16812640,92;13702777,91;12904825,49;1977289,167;82039185,02;10690799,04;13225553,52;14748401,11;15534031,52;13452994,99;12739272,14;1678377,5;82069429,82;;;;19142974,83;16544398,9;14305346,64;1696438,828;51689159,19;80046327,68;90353912,87;215797774;;;;;;;
Gjesdal;1122;3309;4968;0,67;516;638;81 %;4 %;3 %;1 %;3 %;21 %;21 %;10 %;18 %; 6 739 509 ; 8 323 119 ; 9 179 940 ; 24 242 569 ; 12 182 942 ; 10 652 574 ; 9 014 297 ; 31 849 812 ; 6 479 870 ; 8 082 205 ; 9 065 143 ; 23 627 218 ; 10 073 281 ; 8 783 216 ; 8 230 317 ; 27 086 813 ;Rogaland;NO2;0,144;0;1122;Gjesdal;6479869,625;8082205,212;9065143,446;10991112,41;8951355,179;8393198,072;1285650,227;53248534,17;6739509,401;8323118,975;9179940,331;10073280,52;8783216,015;8230316,866;1073457,905;52402840,02;;;;12182941,59;10652573,77;9014296,946;1123641,387;32973453,7;51787489,59;57216022,41;138624827,9;;;;;;;
Sola;1124;8080;12088;0,67;193;273;71 %;5 %;5 %;3 %;4 %;21 %;20 %;11 %;18 %; 13 331 772 ; 16 626 713 ; 18 358 770 ; 48 317 255 ; 23 910 570 ; 20 513 203 ; 18 037 687 ; 62 461 459 ; 12 704 105 ; 15 906 206 ; 17 790 211 ; 46 400 522 ; 19 710 747 ; 17 050 302 ; 16 268 991 ; 53 030 040 ;Rogaland;NO2;0,158;0;1124;Sola;12704105,36;15906205,68;17790211,07;21163691,91;17371406,26;16239814,97;2505101,346;103680536,6;13331772,37;16626712,98;18358769,6;19710747,48;17050301,69;16268991,08;2163856,638;103511151,8;;;;23910569,73;20513202,89;18037686,61;2095684,19;64557143,43;101594419;112874398,4;271748831,9;;;;;;;
Randaberg;1127;3289;4897;0,67;106;128;83 %;5 %;4 %;2 %;3 %;21 %;21 %;11 %;18 %; 6 204 812 ; 7 652 477 ; 8 569 956 ; 22 427 246 ; 11 116 560 ; 9 591 121 ; 8 509 941 ; 29 217 621 ; 5 924 501 ; 7 370 365 ; 8 382 544 ; 21 677 410 ; 9 206 083 ; 7 934 962 ; 7 658 065 ; 24 799 111 ;Rogaland;NO2;0,147;0;1127;Randaberg;5924501,392;7370364,736;8382543,89;9961208,318;8227431,001;7671554,424;1194879,355;48732483,12;6204812,313;7652477,225;8569956,24;9206083,246;7934962,095;7658065,362;1009037,472;48235393,95;;;;11116560;9591120,707;8509940,737;986979,218;30204600,66;47485558,19;52631846,44;127172477,7;;;;;;;
Strand;1130;4128;5974;0,69;1241;1495;83 %;5 %;3 %;3 %;3 %;24 %;22 %;11 %;19 %; 7 772 716 ; 9 691 974 ; 10 845 783 ; 28 310 472 ; 14 303 931 ; 12 200 286 ; 10 655 484 ; 37 159 701 ; 7 435 815 ; 9 423 176 ; 10 533 449 ; 27 392 439 ; 11 573 409 ; 9 973 579 ; 9 577 269 ; 31 124 257 ;Rogaland;NO2;0,177;0;1130;Strand;7435814,603;9423175,606;10533449,05;12852622,37;10227835,94;9637485,509;1461854,332;61572237,41;7772715,512;9691973,949;10845783,01;11573408,98;9973579,098;9577268,741;1267649,689;60702378,97;;;;14303930,8;12200286,09;10655483,61;1380382,875;38540083,38;59784345,77;66850555,85;160814699,8;;;;;;;
Hjelmeland;1133;931;1411;0,66;886;1068;83 %;2 %;0 %;2 %;2 %;27 %;23 %;12 %;21 %; 2 095 980 ; 2 628 294 ; 2 993 480 ; 7 717 754 ; 4 131 773 ; 3 525 319 ; 2 981 155 ; 10 638 247 ; 2 056 494 ; 2 616 600 ; 2 921 797 ; 7 594 891 ; 3 246 748 ; 2 859 962 ; 2 652 598 ; 8 759 308 ;Rogaland;NO2;0,191;0;1133;Hjelmeland;2056494,098;2616599,885;2921796,742;3663143,589;2909751,477;2852022,246;398451,02;17418259,06;2095979,993;2628293,928;2993479,864;3246748,235;2859961,923;2652598,266;349205,393;16826267,6;;;;4131773,303;3525318,977;2981154,786;476680,627;11114927,69;16703404,54;18832681,48;45359454,35;;;;;;;
Suldal;1134;1348;1977;0,68;1189;1494;80 %;2 %;2 %;0 %;1 %;;;;; 2 609 198 ; 3 388 715 ; 3 829 249 ; 9 827 162 ; 14 111 198 ; 10 386 600 ; 26 747 717 ; 51 245 516 ; 2 558 938 ; 3 333 087 ; 3 829 249 ; 9 721 274 ; 4 338 439 ; 3 754 199 ; 3 375 682 ; 11 468 320 ;Rogaland;NO2;4,075;0;1134;Suldal;2558937,987;3333087,024;3829248,716;4977846,367;3896208,257;3562733,435;507798,946;22665860,73;2609197,871;3388715,404;21759577,77;4338438,92;3754199,163;3375682,342;420323,76;39646135,23;;;;14111197,8;10386600,28;26747717,49;7276239,168;58521754,73;21609917,91;86279245,78;120833750,7;;;;;;;
Sauda;1135;1905;2525;0,75;640;752;85 %;3 %;3 %;0 %;2 %;24 %;19 %;15 %;20 %; 3 066 955 ; 4 093 822 ; 4 619 506 ; 11 780 283 ; 6 455 332 ; 5 412 411 ; 4 544 320 ; 16 412 063 ; 2 981 845 ; 3 975 139 ; 4 632 829 ; 11 589 813 ; 5 212 210 ; 4 557 154 ; 3 952 417 ; 13 721 781 ;Rogaland;NO2;0,184;0;1135;Sauda;2981845,48;3975138,845;4632828,526;5869371,527;4749331,156;4245338,888;590740,978;27044595,4;3066955,295;4093822,176;4619505,619;5212209,909;4557153,934;3952417,01;470449,946;25972513,89;;;;6455331,852;5412411,067;4544320,154;644021,108;17056084,18;25782043,65;28836367,27;70073193,47;;;;;;;
Kvitsøy;1144;191;336;0,57;103;128;80 %;2 %;1 %;-2 %;0 %;20 %;22 %;14 %;19 %; 436 806 ; 524 858 ; 594 759 ; 1 556 422 ; 812 330 ; 718 188 ; 641 538 ; 2 172 056 ; 429 338 ; 517 595 ; 609 189 ; 1 556 123 ; 674 728 ; 590 961 ; 564 787 ; 1 830 476 ;Rogaland;NO2;0,149;0;1144;Kvitsøy;429337,871;517595,372;609189,431;721139,479;601920,228;595159,838;89222,192;3563564,411;436805,894;524857,82;594758,71;674727,644;590961,483;564786,996;73943,321;3460841,868;;;;812330,406;718187,947;641537,872;90931,867;2262988,092;3460542,118;3819410,516;9287394,371;;;;;;;
Bokn;1145;322;480;0,67;163;214;76 %;5 %;3 %;1 %;3 %;21 %;21 %;13 %;18 %; 656 014 ; 794 080 ; 883 457 ; 2 333 550 ; 1 175 092 ; 1 030 986 ; 916 458 ; 3 122 536 ; 624 577 ; 769 122 ; 878 544 ; 2 272 243 ; 973 605 ; 854 084 ; 811 913 ; 2 639 603 ;Rogaland;NO2;0,136;0;1145;Bokn;624577,157;769122,288;878543,822;1020885,495;860887,529;846112,834;125632,115;5125761,24;656013,869;794079,621;883456,98;973605,287;854084,317;811912,996;105548,222;5078701,292;;;;1175092,256;1030986,26;916457,507;125884,399;3248420,422;5017394,089;5581970,892;13452882,95;;;;;;;
