KOMMUNE;KOMMUNENUMMER;Bolig-Norgespris;Bolig-alle;Bolig-andel;Fritid-Norgespris;Fritid-alle;Fritid-andel;incr_oct;incr_nov;incr_dec;incr_Q4; okt_2025 ; nov_2025 ; des_2025 ; q4_2025 ; okt_2024 ; nov_2024 ; des_2024 ; q4_2024 ;Fylke;Region
Lillesand;4215;4107;5417;0,76;1148;1630;70 %;0,027;0,036;0,028;0,031;6548345;8426960;9593124;24568429;6375407;8133255;9327544;23836206;Agder;NO2
Birkenes;4216;1618;2287;0,71;236;342;69 %;0,045;0,043;0,04;0,042;2527098;3238714;3690060;9455872;2418875;3103766;3549193;9071834;Agder;NO2
Åmli;4217;652;992;0,66;276;383;72 %;0,058;0,05;0,02;0,04;1413453;1848841;2155649;5417944;1335479;1761602;2112597;5209678;Agder;NO2
Iveland;4218;409;627;0,65;130;171;76 %;0,042;0,023;0,017;0,026;933183;1175711;1331073;3439967;895536;1149568;1308837;3353941;Agder;NO2
Evje og Hornnes;4219;1261;1862;0,68;915;1135;81 %;0,006;0,007;-0,02;-0,004;2457458;3242044;3675833;9375334;2442858;3220588;3750404;9413850;Agder;NO2
Bygland;4220;493;740;0,67;272;370;74 %;0,015;0,018;-0,005;0,008;863436;1124680;1301886;3290001;850593;1105155;1308889;3264636;Agder;NO2
Valle;4221;460;719;0,64;694;774;90 %;0,009;0,051;-0,004;0,017;1106953;1506160;1812832;4425946;1096780;1433139;1820128;4350046;Agder;NO2
Bykle;4222;383;597;0,64;2779;3188;87 %;0,048;0,011;0,024;0,026;2680078;3502251;4571396;10753726;2556253;3464354;4462737;10483344;Agder;NO2
Vennesla;4223;4959;7018;0,71;0;118;0 %;0,035;0,038;0,031;0,035;7976700;10205713;11412515;29594927;7706023;9830447;11071197;28607667;Agder;NO2
Åseral;4224;306;461;0,66;2131;2355;90 %;0,024;0,041;-0,006;0,017;1503660;1996047;2411832;5911539;1467955;1917333;2427062;5812349;Agder;NO2
Lyngdal;4225;3469;5100;0,68;1497;1883;80 %;0,022;0,036;0,025;0,028;6062567;7779761;8808204;22650532;5931664;7511194;8592886;22035744;Agder;NO2
Hægebostad;4226;553;860;0,64;362;463;78 %;0,037;0,042;0,016;0,03;1172871;1532778;1720678;4426327;1131402;1471556;1693736;4296693;Agder;NO2
Kvinesdal;4227;2197;3136;0,7;887;1082;82 %;0,026;0,03;0,029;0,029;3750019;4934444;5594760;14279223;3653385;4791856;5436830;13882071;Agder;NO2
Sirdal;4228;608;971;0,63;3531;3992;88 %;0,039;0,005;-0,017;0,004;3383921;4593729;5520660;13498310;3257102;4570523;5617782;13445407;Agder;NO2
Bergen;4601;69423;148796;0,47;513;1226;42 %;0,033;0,04;-0,001;3;154790501;192640021;204382767;551813289;149787107;185188340;204602414;539577860;Vestland;NO5
Kinn;4602;270;8171;0,03;0;1187;0 %;0,006;0,03;-0,028;0,001;10566131;13044894;14208079;37819104;10504436;12664689;14624005;37793131;Vestland;NO5
Etne;4611;1239;2130;0,58;587;811;72 %;0,048;0,039;0,011;0,031;2746681;3469799;3824552;10041032;2621167;3339281;3783035;9743483;Vestland;NO5
Sveio;4612;2054;2888;0,71;1035;1334;78 %;0,046;0,04;0,013;0,031;3964514;4954564;5520937;14440015;3789825;4763549;5450061;14003434;Vestland;NO5
Bømlo;4613;4301;5860;0,73;1672;2202;76 %;0,051;0,044;0,007;0,031;7932100;9771847;10810731;28514678;7547116;9364277;10738857;27650250;Vestland;NO5
Stord;4614;5824;8512;0,68;183;268;68 %;0,071;0,043;0,01;0,037;10677143;13124005;14424042;38225190;9973944;12581819;14287904;36843666;Vestland;NO5
Fitjar;4615;1045;1462;0,71;482;664;73 %;0,067;0,059;0,013;0,043;1991445;2477738;2722424;7191607;1866791;2339762;2688543;6895096;Vestland;NO5
Tysnes;4616;1240;1948;0,64;812;1209;67 %;0,045;0,018;0,011;0,022;2423897;2994066;3318128;8736091;2319115;2941789;3283244;8544148;Vestland;NO5
Kvinnherad;4617;4344;6790;0,64;1161;1706;68 %;0,04;0,052;0,072;0,057;8281542;10429986;12041342;30752870;7962314;9914695;11231089;29108099;Vestland;NO5
Ullensvang;4618;3447;6270;0,55;1812;2451;74 %;0,007;0,149;0,212;0,135;8067369;11499663;13901564;33468596;8009098;10008388;11467429;29484915;Vestland;NO5
Eidfjord;4619;259;517;0,5;1077;1323;81 %;0,02;0,298;0,352;0,249;1404997;2336067;2982336;6723399;1376820;1800378;2206330;5383529;Vestland;NO5
Ulvik;4620;283;576;0,49;168;297;57 %;-0,012;0,005;-0,022;-0,01;780377;997748;1154760;2932884;789465;992927;1180782;2963174;Vestland;NO5
Voss;4621;3745;7735;0,48;2758;3807;72 %;0,001;0,031;0,003;0,012;10665875;14118393;16405210;41189477;10655048;13698185;16355282;40708515;Vestland;NO5
Kvam;4622;2119;4108;0,52;2053;2630;78 %;-0,013;0,01;-0,027;-0,011;6221614;8046058;9150186;23417859;6303454;7968946;9403040;23675441;Vestland;NO5
Samnanger;4623;675;1285;0,53;373;611;61 %;0,012;0,028;-0,002;0,012;1755561;2234730;2476699;6466990;1734500;2173069;2482380;6389949;Vestland;NO5
Bjørnafjorden;4624;6333;11980;0,53;1159;1948;59 %;0,038;0,034;0,003;0,023;15942968;19582395;21264546;56789909;15355773;18936922;21207886;55500581;Vestland;NO5
Austevoll;4625;1585;2528;0,63;993;1537;65 %;0,053;0,044;0,001;0,03;4032276;4972467;5473385;14478128;3828364;4764320;5469646;14062330;Vestland;NO5
Øygarden;4626;8688;18128;0,48;1700;3424;50 %;0,041;0,036;-0,006;0,021;24245766;29631188;32209470;86086424;23285164;28592000;32402840;84280005;Vestland;NO5
Askøy;4627;6798;12402;0,55;468;1030;45 %;0,028;0,034;-0,009;0,016;17792477;21907464;23748217;63448157;17311943;21182241;23953751;62447934;Vestland;NO5
Vaksdal;4628;1015;2089;0,49;398;593;67 %;0,014;0,039;0,007;0,02;2603308;3325808;3654598;9583714;2566231;3201733;3629272;9397236;Vestland;NO5
Modalen;4629;114;177;0,64;0;123;0 %;-0,034;0,004;-0,049;-0,027;359068;464979;503402;1327449;371637;463297;529475;1364409;Vestland;NO5
Osterøy;4630;1798;3898;0,46;348;663;52 %;0,028;0,038;0,011;0,025;5018744;6212586;6839004;18070335;4881812;5987436;6762451;17631700;Vestland;NO5
Alver;4631;6826;14017;0,49;1759;3141;56 %;0,027;0,039;-0,001;0,02;18702077;23047873;25158529;66908480;18212052;22182026;25175276;65569354;Vestland;NO5
Austrheim;4632;752;1681;0,45;280;505;55 %;0,028;0,046;0,009;0,027;2194270;2724470;3015232;7933972;2134779;2603981;2989775;7728535;Vestland;NO5
Fedje;4633;155;348;0,45;0;146;0 %;0,022;0,046;-0,035;0,008;428905;525047;578397;1532349;419480;501793;599126;1520399;Vestland;NO5
Masfjorden;4634;440;952;0,46;351;589;60 %;0,021;0,041;0,003;0,021;1284417;1596337;1769937;4650691;1258556;1533110;1765251;4556917;Vestland;NO5
Gulen;4635;562;1275;0,44;674;1128;60 %;0,006;0,033;-0,012;0,008;1883587;2317837;2546010;6747434;1871481;2242737;2576787;6691005;Vestland;NO5
Solund;4636;0;505;0;0;355;0 %;-0,016;0;-0,053;-0,025;650179;772398;839048;2261625;660537;772107;886425;2319069;Vestland;NO5
Hyllestad;4637;0;717;0;0;273;0 %;0,005;0,015;-0,036;-0,007;877925;1065212;1172767;3115904;873335;1049162;1216716;3139213;Vestland;NO5
Høyanger;4638;205;2144;0,1;190;634;30 %;-0,02;-0,004;0,017;0;2827592;3543122;4195722;10566436;2884961;3556419;4127018;10568397;Vestland;NO5
Vik;4639;710;1431;0,5;163;284;57 %;-0,039;0,048;0,034;0,019;1694805;2255798;2594940;6545543;1764198;2153338;2508617;6426153;Vestland;NO5
Sogndal;4640;3225;5956;0,54;288;566;51 %;-0,039;0,003;-0,042;-0,026;7269661;9541887;10511568;27323116;7561901;9517484;10971132;28050516;Vestland;NO5
Aurland;4641;717;915;0,78;174;258;67 %;-0,019;0,034;-0,011;0,002;1476077;1900455;2087842;5464374;1505378;1837537;2111418;5454333;Vestland;NO5
Lærdal;4642;903;1270;0,71;238;344;69 %;0,026;0,043;-0,025;0,012;1891222;2398164;2597728;6887114;1842834;2300350;2663257;6806441;Vestland;NO5
Årdal;4643;1665;2775;0,6;268;413;65 %;-0,037;-0,016;-0,071;-0,043;3523980;4612375;5026693;13163048;3659636;4688239;5412434;13760308;Vestland;NO5
Luster;4644;1994;2814;0,71;334;596;56 %;-0,028;0,009;-0,033;-0,017;3632364;4795903;5448714;13876981;3736377;4752822;5633821;14123020;Vestland;NO5
Askvoll;4645;0;1491;0;0;463;0 %;-0,005;0,008;-0,048;-0,017;2176717;2644413;2909770;7730900;2188122;2624385;3056029;7868535;Vestland;NO5
Fjaler;4646;0;1347;0;0;463;0 %;-0,006;0,006;-0,041;-0,015;1824549;2267171;2476429;6568149;1834738;2252745;2582165;6669648;Vestland;NO5
Sunnfjord;4647;486;10428;0,05;105;924;11 %;0,01;0,017;-0,014;0,003;13069886;16238755;17702588;47011228;12934665;15971243;17959704;46865612;Vestland;NO5
Bremanger;4648;0;1853;0;0;634;0 %;-0,014;0,015;-0,032;-0,011;2493504;3063041;3369676;8926221;2529098;3016815;3482743;9028657;Vestland;NO5
Stad;4649;118;4169;0,03;0;708;0 %;0,011;0,015;-0,006;0,006;6090320;7461687;8338680;21890688;6025109;7350993;8393085;21769187;Vestland;NO5
Gloppen;4650;137;2626;0,05;0;328;0 %;0,012;0;0;0,003;3721080;4585591;5187222;13493893;3678758;4586192;5186133;13451083;Vestland;NO5
Stryn;4651;0;3113;0;126;1038;12 %;0,023;-0,006;-0,004;0,003;4782276;5874970;6595207;17252454;4675215;5908915;6622073;17206204;Vestland;NO5
Trondheim;5001;1667;111822;0,01;0;645;0 %;-0,009;-0,006;-0,023;-0,013;115052926;143038204;154504820;412595950;116119412;143833760;158150110;418103283;Trøndelag;NO3
Steinkjer;5006;298;11111;0,03;0;872;0 %;-0,026;0,004;-0,012;-0,01;13890931;17657401;20115613;51663946;14262556;17583113;20361128;52206797;Trøndelag;NO3
Namsos;5007;223;7334;0,03;0;891;0 %;-0,009;0,033;-0,011;0,005;8816986;11397960;12597828;32812774;8893515;11030205;12739294;32663014;Trøndelag;NO3
Frøya;5014;0;2720;0;0;1086;0 %;-0,019;0,023;-0,034;-0,011;3971712;4814854;5207209;13993775;4050220;4708137;5389654;14148011;Trøndelag;NO3
Osen;5020;0;535;0;0;290;0 %;-0,006;0,041;-0,026;0,002;665248;822061;901576;2388885;668945;789401;926067;2384413;Trøndelag;NO3
Oppdal;5021;0;3638;0;457;4245;11 %;-0,01;-0,044;-0,042;-0,034;7983802;10305827;12158804;30448434;8064105;10774607;12693646;31532357;Trøndelag;NO3
Rennebu;5022;0;1306;0;141;1714;8 %;-0,01;-0,011;-0,04;-0,022;2561893;3293892;3750497;9606282;2587881;3329363;3907743;9824987;Trøndelag;NO3
Røros;5025;1715;2972;0,58;1818;2791;65 %;-0,048;-0,029;-0,052;-0,043;5208600;6705033;7934016;19847649;5471318;6904546;8372342;20748206;Trøndelag;NO3
Holtålen;5026;0;1084;0;0;796;0 %;-0,025;-0,03;-0,071;-0,045;1729206;2175276;2486501;6390984;1773854;2243179;2676523;6693556;Trøndelag;NO3
Midtre Gauldal;5027;0;2770;0;0;861;0 %;-0,021;-0,027;-0,047;-0,033;4583531;5837954;6539195;16960679;4681562;6001617;6864234;17547413;Trøndelag;NO3
Melhus;5028;125;7485;0,02;0;416;0 %;-0,007;-0,011;-0,032;-0,018;10977648;13816509;15197536;39991693;11052326;13974896;15703887;40731110;Trøndelag;NO3
Skaun;5029;0;3503;0;0;319;0 %;-0,011;0,003;-0,006;-0,004;5377941;6652008;7476465;19506414;5439644;6629537;7521806;19590987;Trøndelag;NO3
Malvik;5031;140;6254;0,02;0;225;0 %;-0,009;-0,006;-0,03;-0,016;9174327;11183822;12220348;32578497;9257467;11255486;12596748;33109701;Trøndelag;NO3
Selbu;5032;0;1928;0;0;1040;0 %;-0,003;-0,025;-0,049;-0,029;3108690;3902206;4423617;11434513;3117561;4003025;4652828;11773414;Trøndelag;NO3
Tydal;5033;0;444;0;123;1415;9 %;0,002;-0,021;0,018;0,001;1466262;1798671;2250458;5515391;1462897;1836803;2211279;5510980;Trøndelag;NO3
Meråker;5034;0;1301;0;114;1060;11 %;-0,017;-0,025;-0,028;-0,024;2135162;2685638;3148525;7969325;2172126;2755014;3238481;8165621;Trøndelag;NO3
Stjørdal;5035;225;10904;0,02;0;542;0 %;0,005;-0,004;-0,018;-0,007;13761528;17061252;19059043;49881823;13691076;17123437;19407770;50222283;Trøndelag;NO3
Frosta;5036;0;1265;0;0;616;0 %;-0,014;0,008;-0,02;-0,009;1908903;2346569;2637329;6892801;1936608;2327895;2692132;6956634;Trøndelag;NO3
Levanger;5037;202;9137;0,02;125;1720;7 %;-0,026;0,003;-0,015;-0,012;11745771;14667151;16646312;43059234;12055092;14626760;16906448;43588299;Trøndelag;NO3
Verdal;5038;147;7006;0,02;125;915;14 %;-0,022;-0,01;-0,014;-0,014;8589571;10797610;12367230;31754412;8779528;10901244;12537096;32217868;Trøndelag;NO3
Snåsa;5041;0;912;0;0;98;0 %;-0,005;0,026;-0,022;-0,001;1091268;1405930;1579810;4077008;1096703;1370296;1614876;4081875;Trøndelag;NO3
Lierne;5042;0;681;0;0;512;0 %;0,002;0,055;-0,03;0,007;1043717;1364685;1560425;3968827;1041239;1293335;1608538;3943112;Trøndelag;NO3
Røyrvik;5043;0;246;0;0;144;0 %;-0,01;0,058;-0,062;-0,008;353099;482403;523522;1359023;356563;456080;558020;1370663;Trøndelag;NO3
Namsskogan;5044;0;495;0;0;163;0 %;0,015;0,069;-0,019;0,019;666098;887326;969198;2522622;656334;830328;988176;2474838;Trøndelag;NO3
Grong;5045;0;1183;0;0;294;0 %;-0,015;0,024;-0,032;-0,008;1591448;2129916;2366186;6087550;1616021;2079772;2443909;6139702;Trøndelag;NO3
Høylandet;5046;0;537;0;0;55;0 %;-0,009;0,021;-0,022;-0,004;750682;964098;1088683;2803463;757615;944008;1113557;2815181;Trøndelag;NO3
Overhalla;5047;0;1593;0;0;33;0 %;-0,001;0,019;-0,023;-0,003;2220758;2859944;3185811;8266513;2223655;2806822;3260101;8290579;Trøndelag;NO3
Flatanger;5049;0;626;0;0;580;0 %;-0,023;0,039;-0,034;-0,007;799416;1014059;1101148;2914622;818062;975742;1140475;2934278;Trøndelag;NO3
Leka;5052;0;349;0;0;147;0 %;-0,016;0,059;-0,047;-0,003;431769;552198;586452;1570419;438836;521640;615115;1575591;Trøndelag;NO3
Inderøy;5053;0;2996;0;0;729;0 %;-0,012;0,036;0,011;0,013;4258600;5379417;6137111;15775129;4308198;5193269;6068295;15569762;Trøndelag;NO3
Indre Fosen;5054;0;4874;0;0;1175;0 %;-0,001;0,012;-0,014;-0,001;6715200;8280219;9411849;24407267;6721255;8178421;9543800;24443476;Trøndelag;NO3
Heim;5055;0;3174;0;0;1323;0 %;-0,027;0,003;-0,001;-0,007;4341719;5343940;6177740;15863398;4464016;5329180;6184164;15977361;Trøndelag;NO3
Hitra;5056;0;2939;0;0;2060;0 %;-0,03;0,018;0,003;-0,001;4555596;5508055;6171536;16235187;4695177;5408409;6150326;16253912;Trøndelag;NO3
Ørland;5057;0;5420;0;0;960;0 %;-0,024;0,014;-0,024;-0,011;7438108;9241933;10186817;26866858;7618816;9114580;10432270;27165666;Trøndelag;NO3
Åfjord;5058;0;2258;0;0;1462;0 %;-0,002;0,021;0,029;0,018;3458771;4248609;4920857;12628237;3464241;4160773;4782176;12407190;Trøndelag;NO3
Orkland;5059;195;9120;0,02;157;2841;6 %;-0,025;0,006;0,01;-0,001;13078968;16749681;19541593;49370242;13413105;16657752;19354584;49425441;Trøndelag;NO3
Nærøysund;5060;107;5033;0,02;0;918;0 %;-0,015;0,042;-0,039;-0,006;6093013;7786193;8370920;22250126;6186043;7473246;8714827;22374116;Trøndelag;NO3
Rindal;5061;0;857;0;0;487;0 %;-0,021;-0,005;0,001;-0,007;1484981;1903213;2248721;5636915;1517258;1912343;2245938;5675539;Trøndelag;NO3
Tromsø;5501;0;39158;0;0;1487;0 %;0,019;0,089;-0,013;0,03;57087386;71511670;76977912;205576969;56009490;65661933;77985680;199657104;Troms;NO4
Harstad;5503;0;12524;0;0;787;0 %;-0,011;0,11;-0,021;0,024;19456341;25407058;27016427;71879825;19677573;22887222;27607046;70171841;Troms;NO4
Kvæfjord;5510;0;1370;0;0;267;0 %;-0,016;0,105;-0,024;0,02;2470174;3230869;3460982;9162024;2510236;2923311;3546505;8980053;Troms;NO4
Tjeldsund;5512;0;2334;0;0;879;0 %;-0,02;0,119;-0,031;0,02;4258204;5659366;6065905;15983475;4346767;5058261;6262353;15667381;Troms;NO4
Ibestad;5514;0;927;0;0;264;0 %;-0,018;0,083;-0,057;-0,001;1419619;1862329;2022225;5304173;1446067;1720314;2144994;5311376;Troms;NO4
Gratangen;5516;0;657;0;0;213;0 %;0,019;0,133;-0,032;0,035;1085518;1433220;1522348;4041085;1065027;1265103;1573196;3903326;Troms;NO4
Lavangen;5518;0;529;0;0;154;0 %;0,038;0,159;-0,006;0,059;914866;1205536;1295249;3415651;881675;1040535;1303080;3225290;Troms;NO4
Bardu;5520;0;1918;0;0;442;0 %;0,011;0,158;0,008;0,058;3352975;4595332;4922308;12870615;3315127;3969899;4884269;12169295;Troms;NO4
Salangen;5522;0;1112;0;0;275;0 %;0,006;0,139;-0,019;0,039;1880520;2546115;2729025;7155660;1870140;2235629;2782445;6888214;Troms;NO4
Målselv;5524;0;3464;0;0;719;0 %;0,007;0,153;0,003;0,053;6476372;8772418;9485549;24734338;6432888;7607866;9457131;23497885;Troms;NO4
Sørreisa;5526;0;1720;0;0;142;0 %;0,009;0,129;-0,01;0,04;2602620;3437042;3712699;9752361;2580476;3045320;3748899;9374695;Troms;NO4
Dyrøy;5528;0;640;0;0;316;0 %;0,015;0,119;-0,034;0,029;1097489;1418038;1521219;4036745;1080865;1266794;1574291;3921950;Troms;NO4
Senja;5530;0;7697;0;0;1664;0 %;0,014;0,116;-0,017;0,035;13440803;17480190;19041913;49962906;13257018;15658631;19364773;48280422;Troms;NO4
Balsfjord;5532;0;3033;0;0;1139;0 %;0,029;0,131;0,006;0,053;5653005;7356290;8050866;21060160;5494506;6502203;8001170;19997880;Troms;NO4
Karlsøy;5534;0;1245;0;0;922;0 %;0,022;0,093;-0,008;0,033;2750343;3438356;3796029;9984728;2690872;3146929;3826693;9664494;Troms;NO4
Lyngen;5536;0;1469;0;0;455;0 %;0,014;0,116;-0,003;0,04;2799500;3617204;4055074;10471778;2759892;3242206;4069302;10071401;Troms;NO4
Storfjord;5538;0;956;0;0;324;0 %;0,012;0,163;0,015;0,061;1707185;2254551;2463643;6425379;1687534;1938517;2428071;6054123;Troms;NO4
Kåfjord;5540;0;1041;0;0;246;0 %;0,018;0,131;-0,006;0,044;1660213;2149639;2363696;6173548;1631426;1901049;2378870;5911344;Troms;NO4
Skjervøy;5542;0;1298;0;0;355;0 %;0,018;0,093;-0,008;0,032;2371911;2969100;3324091;8665102;2330378;2715350;3351692;8397419;Troms;NO4
Nordreisa;5544;0;2384;0;0;498;0 %;0,025;0,153;0,001;0,056;4151996;5414407;5914228;15480632;4051068;4695186;5910674;14656928;Troms;NO4
Kvænangen;5546;0;766;0;0;403;0 %;0,064;0,174;0,037;0,088;1486978;1903341;2122774;5513093;1398192;1620987;2046501;5065680;Troms;NO4
Alta;5601;0;9465;0;0;1239;0 %;0,005;0,158;0,015;0,058;19027785;25274172;27558107;71860064;18939756;21822353;27138973;67901082;Finnmark;NO4
Hammerfest;5603;0;4935;0;0;1211;0 %;0,008;0,085;-0,041;0,013;10110424;12500938;13793494;36404856;10035070;11517493;14376375;35928938;Finnmark;NO4
Sør-Varanger;5605;0;4937;0;0;1040;0 %;-0,013;0,142;0,011;0,047;9290083;13277332;14958256;37525671;9411053;11628782;14789565;35829400;Finnmark;NO4
Vadsø;5607;0;3014;0;0;154;0 %;0,002;0,096;0,007;0,035;5605345;7542083;8538253;21685681;5592709;6880858;8480382;20953949;Finnmark;NO4
Karasjok;5610;0;1108;0;0;52;0 %;-0,059;0,139;0,03;0,042;2013827;2970236;3363570;8347634;2140679;2607173;3265893;8013746;Finnmark;NO4
Kautokeino;5612;0;1284;0;0;274;0 %;-0,036;0,213;0,051;0,08;2504471;3740656;4071876;10317003;2598948;3082690;3873240;9554878;Finnmark;NO4
Loppa;5614;0;574;0;0;272;0 %;0,004;0,104;-0,022;0,026;974656;1235191;1368262;3578109;971174;1118439;1399150;3488763;Finnmark;NO4
Hasvik;5616;0;534;0;0;50;0 %;0,007;0,095;-0,019;0,025;901472;1104795;1204127;3210394;895073;1008551;1227089;3130713;Finnmark;NO4
Måsøy;5618;0;590;0;0;205;0 %;0,012;0,063;-0,021;0,015;1056711;1288635;1463412;3808758;1044498;1212411;1495345;3752253;Finnmark;NO4
Nordkapp;5620;0;1562;0;0;162;0 %;0,002;0,059;-0,023;0,01;2673542;3321703;3747223;9742469;2669463;3137737;3836918;9644119;Finnmark;NO4
Porsanger;5622;0;1670;0;0;401;0 %;-0,018;0,152;0,011;0,048;3932093;5297725;5882761;15112579;4002483;4597845;5816038;14416366;Finnmark;NO4
Lebesby;5624;0;625;0;0;255;0 %;0,003;0,086;0,009;0,032;1168672;1461808;1681615;4312095;1164652;1345619;1667233;4177504;Finnmark;NO4
Gamvik;5626;0;521;0;0;76;0 %;-0,031;0,048;-0,038;-0,009;891037;1110946;1268233;3270215;919757;1060336;1318260;3298352;Finnmark;NO4
Tana;5628;0;1542;0;0;368;0 %;0,001;0,18;0,05;0,078;3023579;4203764;4875594;12102938;3020941;3562905;4645457;11229303;Finnmark;NO4
Berlevåg;5630;0;562;0;0;55;0 %;-0,006;0,113;-0,014;0,029;891997;1185226;1321173;3398397;897065;1064867;1339703;3301634;Finnmark;NO4
Båtsfjord;5632;0;1004;0;0;145;0 %;-0,003;0,093;0,005;0,032;1867244;2426755;2723450;7017449;1872838;2219848;2710193;6802879;Finnmark;NO4
Vardø;5634;0;1255;0;0;92;0 %;-0,029;0,087;-0,011;0,016;2402075;3171162;3501722;9074960;2473494;2918424;3541173;8933091;Finnmark;NO4
Nesseby;5636;0;493;0;0;113;0 %;-0,001;0,132;0,022;0,052;892182;1257914;1458948;3609044;892841;1111335;1427054;3431230;Finnmark;NO4
