Date,Adj Close,Close,High,Low,Open,Volume
,DE000SL0DEX2.SG,DE000SL0DEX2.SG,DE000SL0DEX2.SG,DE000SL0DEX2.SG,DE000SL0DEX2.SG,DE000SL0DEX2.SG
2016-01-04,104.87000274658203,104.87000274658203,104.87000274658203,104.87000274658203,104.87000274658203,0
2016-01-05,102.75,102.75,102.75,102.75,102.75,0
2016-01-06,99.91999816894531,99.91999816894531,99.91999816894531,99.91999816894531,99.91999816894531,0
2016-01-07,95.68000030517578,95.68000030517578,95.68000030517578,95.68000030517578,95.68000030517578,0
2016-01-08,94.93000030517578,94.93000030517578,94.93000030517578,94.93000030517578,94.93000030517578,0
2016-01-11,92.2699966430664,92.2699966430664,92.2699966430664,92.2699966430664,92.2699966430664,0
2016-01-12,89.36000061035156,89.36000061035156,89.36000061035156,89.36000061035156,89.36000061035156,0
2016-01-13,87.55000305175781,87.55000305175781,87.55000305175781,87.55000305175781,87.55000305175781,0
2016-01-14,87.51000213623047,87.51000213623047,87.51000213623047,87.51000213623047,87.51000213623047,0
2016-01-15,84.72000122070312,84.72000122070312,84.72000122070312,84.72000122070312,84.72000122070312,0
2016-01-18,84.12000274658203,84.12000274658203,84.12000274658203,84.12000274658203,84.12000274658203,0
2016-01-19,84.44000244140625,84.44000244140625,84.44000244140625,84.44000244140625,84.44000244140625,0
2016-01-20,81.08999633789062,81.08999633789062,81.08999633789062,81.08999633789062,81.08999633789062,0
2016-01-21,83.77999877929688,83.77999877929688,83.77999877929688,83.77999877929688,83.77999877929688,0
2016-01-22,88.5199966430664,88.5199966430664,88.5199966430664,88.5199966430664,88.5199966430664,0
2016-01-25,87.08000183105469,87.08000183105469,87.08000183105469,87.08000183105469,87.08000183105469,0
2016-01-26,88.12999725341797,88.12999725341797,88.12999725341797,88.12999725341797,88.12999725341797,0
2016-01-27,88.29000091552734,88.29000091552734,88.29000091552734,88.29000091552734,88.29000091552734,0
2016-01-28,89.29000091552734,89.29000091552734,89.29000091552734,89.29000091552734,89.29000091552734,0
2016-01-29,89.94999694824219,89.94999694824219,89.94999694824219,89.94999694824219,89.94999694824219,0
2016-02-01,89.98999786376953,89.98999786376953,89.98999786376953,89.98999786376953,89.98999786376953,0
2016-02-02,86.77999877929688,86.77999877929688,86.77999877929688,86.77999877929688,86.77999877929688,0
2016-02-03,87.04000091552734,87.04000091552734,87.04000091552734,87.04000091552734,87.04000091552734,0
2016-02-04,88.06999969482422,88.06999969482422,88.06999969482422,88.06999969482422,88.06999969482422,0
2016-02-05,87.2699966430664,87.2699966430664,87.2699966430664,87.2699966430664,87.2699966430664,0
2016-02-08,84.51000213623047,84.51000213623047,84.51000213623047,84.51000213623047,84.51000213623047,0
2016-02-09,81.41999816894531,81.41999816894531,81.41999816894531,81.41999816894531,81.41999816894531,0
2016-02-10,80.5999984741211,80.5999984741211,80.5999984741211,80.5999984741211,80.5999984741211,0
2016-02-11,79.11000061035156,79.11000061035156,79.11000061035156,79.11000061035156,79.11000061035156,0
2016-02-12,81.22000122070312,81.22000122070312,81.22000122070312,81.22000122070312,81.22000122070312,0
2016-02-15,82.93000030517578,82.93000030517578,82.93000030517578,82.93000030517578,82.93000030517578,0
2016-02-16,84.22000122070312,84.22000122070312,84.22000122070312,84.22000122070312,84.22000122070312,0
2016-02-17,86.66999816894531,86.66999816894531,86.66999816894531,86.66999816894531,86.66999816894531,0
2016-02-18,86.83999633789062,86.83999633789062,86.83999633789062,86.83999633789062,86.83999633789062,0
2016-02-19,86.5999984741211,86.5999984741211,86.5999984741211,86.5999984741211,86.5999984741211,0
2016-02-22,88.47000122070312,88.47000122070312,88.47000122070312,88.47000122070312,88.47000122070312,0
2016-02-23,86.75,86.75,86.75,86.75,86.75,0
2016-02-24,85.83999633789062,85.83999633789062,85.83999633789062,85.83999633789062,85.83999633789062,0
2016-02-25,86.41999816894531,86.41999816894531,86.41999816894531,86.41999816894531,86.41999816894531,0
2016-02-26,87.11000061035156,87.11000061035156,87.11000061035156,87.11000061035156,87.11000061035156,0
2016-02-29,88.76000213623047,88.76000213623047,88.76000213623047,88.76000213623047,88.76000213623047,0
2016-03-01,89.77999877929688,89.77999877929688,89.77999877929688,89.77999877929688,89.77999877929688,0
2016-03-02,90.45999908447266,90.45999908447266,90.45999908447266,90.45999908447266,90.45999908447266,0
2016-03-03,92.0999984741211,92.0999984741211,92.0999984741211,92.0999984741211,92.0999984741211,0
2016-03-04,94.62999725341797,94.62999725341797,94.62999725341797,94.62999725341797,94.62999725341797,0
2016-03-07,96.11000061035156,96.11000061035156,96.11000061035156,96.11000061035156,96.11000061035156,0
2016-03-08,91.61000061035156,91.61000061035156,91.61000061035156,91.61000061035156,91.61000061035156,0
2016-03-09,92.05999755859375,92.05999755859375,92.05999755859375,92.05999755859375,92.05999755859375,0
2016-03-10,91.27999877929688,91.27999877929688,91.27999877929688,91.27999877929688,91.27999877929688,0
2016-03-11,93.62999725341797,93.62999725341797,93.62999725341797,93.62999725341797,93.62999725341797,0
2016-03-14,94.87999725341797,94.87999725341797,94.87999725341797,94.87999725341797,94.87999725341797,0
2016-03-15,93.4000015258789,93.4000015258789,93.4000015258789,93.4000015258789,93.4000015258789,0
