,ImplicitDayrate,ImplicitDayrate,ImplicitDayrate,ImplicitDayrate,Count,Count,Count,Count
VesselType,Aframax/LR2,MR,Suezmax,VLCC,Aframax/LR2,MR,Suezmax,VLCC
Date,,,,,,,,
2015-02-03,52092.964287957926,35033.50791712214,44848.48779077166,57063.82207274308,4.0,6.0,9.0,14.0
2015-02-04,52799.02377414641,35466.494035553944,45413.45730356577,57803.78087998597,4.0,6.0,9.0,14.0
2015-02-05,53946.37086004736,36170.0967360857,46331.53309860458,59006.21438280594,4.0,6.0,9.0,14.0
2015-02-06,52949.139182848114,35554.87701564099,45010.79070975158,57942.87273774848,4.0,6.0,9.0,14.0
2015-02-07,52949.139182848114,35554.87701564099,45010.79070975158,57942.87273774848,4.0,6.0,9.0,14.0
2015-02-08,52949.139182848114,35554.87701564099,45010.79070975158,57942.87273774848,4.0,6.0,9.0,14.0
2015-02-09,55605.85906845085,37183.87204668469,47105.30230534976,60726.05471348013,4.0,6.0,9.0,14.0
2015-02-10,54720.28577324994,36640.87370300346,46407.1317734837,59798.32738823624,4.0,6.0,9.0,14.0
2015-02-11,55694.416735790335,37238.17208819025,47175.11962486727,60818.827799904415,4.0,6.0,9.0,14.0
2015-02-12,55517.30140111135,37129.57200517914,47035.48498583223,60633.28162705586,4.0,6.0,9.0,14.0
2015-02-13,54977.78433926625,36792.02128383803,46539.31518056682,63073.665333062105,4.0,6.0,9.0,14.0
2015-02-14,54977.78433926625,36792.02128383803,46539.31518056682,63073.665333062105,4.0,6.0,9.0,14.0
2015-02-15,54977.78433926625,36792.02128383803,46539.31518056682,63073.665333062105,4.0,6.0,9.0,14.0
2015-02-16,54977.78433926625,36792.02128383803,46539.31518056682,63073.665333062105,4.0,6.0,9.0,14.0
2015-02-17,53509.033563731915,35891.655188708275,45383.62104352038,61439.799223718626,4.0,6.0,9.0,14.0
2015-02-18,53768.22574947557,36050.54385794576,45587.567754168565,61728.12950762207,4.0,6.0,9.0,14.0
2015-02-19,53077.04823538572,35626.841750162246,45043.71115576005,60959.25058369377,4.0,6.0,9.0,14.0
2015-02-20,52711.48712572053,35082.19764411203,44356.51716488199,60205.08116399733,4.0,6.0,9.0,14.0
2015-02-21,52711.48712572053,35082.19764411203,44356.51716488199,60205.08116399733,4.0,6.0,9.0,14.0
2015-02-22,52711.48712572053,35082.19764411203,44356.51716488199,60205.08116399733,4.0,6.0,9.0,14.0
2015-02-23,52276.28872119843,34818.57763765498,44018.02170358075,59724.38739275035,4.0,6.0,9.0,14.0
2015-02-24,50883.65349469765,33974.99341586634,42934.83596916525,58186.16695801975,4.0,6.0,9.0,14.0
2015-02-25,50709.57346882874,33869.54501103132,42799.437268141664,57993.88871604047,4.0,6.0,9.0,14.0
2015-02-26,51929.93267716858,34608.77359973842,43748.62745102807,59341.823506327746,4.0,6.0,9.0,14.0
2015-02-27,49378.81107678518,32906.83870684568,41812.060555286575,56242.22816731428,4.0,6.0,9.0,14.0
2015-02-28,49378.81107678518,32906.83870684568,41812.060555286575,56242.22816731428,4.0,6.0,9.0,14.0
2015-03-01,49585.99090300952,32906.83870684568,43927.917816761685,56242.22816731428,5.0,6.0,11.0,14.0
2015-03-02,44420.09123596113,29813.175131668697,39657.4687047552,50600.66036461679,5.0,6.0,11.0,14.0
2015-03-03,44680.79801948434,29969.3026471007,39872.9849021162,50885.37262979125,5.0,6.0,11.0,14.0
2015-03-04,44854.60364685535,30073.388319145062,40016.66328050259,51075.18201334519,5.0,6.0,11.0,14.0
2015-03-05,44506.99404964664,29865.217967690875,39729.30789394839,50695.56505639375,5.0,6.0,11.0,14.0
