Produsent,Modell,variant_id,hjuldrift,drivstoff,årstall,n_obs,median_pris,median_km,p25_pris,p75_pris,std_pris,hurtigpris,innbyttepris,km_slope_pct,km_slope_kilde
ACE,Andre,ikke_klassifisert,Tohjul,Elektrisk,2025,6,149950,2126,139475,153675,12526,139475,127458,-2.522e-06,global
ACE,Ukjent,ikke_klassifisert,Tohjul,Elektrisk,2025,6,156950,50,154900,174675,13197,154900,133408,-2.522e-06,global
Abarth,500,ikke_klassifisert,Tohjul,Bensin,2009,5,130000,145000,129900,148000,19512,129900,110500,0.0,variant
Abarth,500,ikke_klassifisert,Tohjul,Bensin,2010,5,179900,104000,179000,199900,11289,179000,152915,0.0,variant
Abarth,500,ikke_klassifisert,Tohjul,Elektrisk,2024,18,299450,1310,272400,349507,50788,272400,254532,0.0,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Bensin,2010,5,80942,207500,51942,81942,23842,80942,68801,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Bensin,2011,5,79000,195500,76900,89000,37170,79000,67150,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2006,12,23421,233000,14332,31956,12065,19171,19171,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2007,20,26500,195325,16942,39206,18667,21900,21900,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2008,21,31942,194570,26990,41942,14746,31942,27151,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2009,10,58950,213500,34432,69357,32493,34432,34432,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2010,17,49000,187000,39900,56942,18265,47971,41650,-2.907e-06,variant
Alfa,Romeo 159,ikke_klassifisert,Tohjul,Diesel,2011,8,54900,148000,49910,60942,22606,49910,46665,-2.907e-06,variant
Alfa,Romeo 159 SportWagon,ikke_klassifisert,Tohjul,Diesel,2007,7,59000,152000,37445,62000,20420,24900,24900,-2.522e-06,global
Alfa,Romeo Brera,ikke_klassifisert,Tohjul,Bensin,2006,5,120900,154000,101900,129000,22128,101900,101900,-3.389e-06,variant
Alfa,Romeo GT,ikke_klassifisert,Tohjul,Diesel,2009,6,36400,116050,22150,49900,18822,22150,22150,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Tohjul,Bensin,2017,9,259900,143950,259900,299000,51065,259900,220915,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Tohjul,Bensin,2019,7,304532,99000,291934,319500,30435,291934,258852,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Firehjul,Bensin,2020,12,465000,69000,456826,508250,47967,456826,395250,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Tohjul,Diesel,2016,5,215000,132600,204532,249990,32621,204532,182750,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Tohjul,Diesel,2017,12,244716,102625,214742,262025,37149,244716,208009,0.0,variant
Alfa,Romeo Giulia,ikke_klassifisert,Tohjul,Diesel,2018,10,209000,162000,191500,223408,25459,191500,177650,0.0,variant
Alfa,Romeo Giulia Quadrifoglio,ikke_klassifisert,Tohjul,Bensin,2017,7,834990,98962,829990,874945,37646,829990,709742,-2.522e-06,global
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Bensin,2010,26,30471,177324,20486,45442,23320,19400,19400,-4.353e-06,variant
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Bensin,2011,24,40921,160000,27942,55956,33494,26971,26971,-4.353e-06,variant
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Bensin,2012,31,64000,149000,42921,78900,23421,39900,39900,-4.353e-06,variant
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Bensin,2013,12,59000,157220,51442,68425,15163,59000,50150,-4.353e-06,variant
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Bensin,2014,9,89434,123000,64434,118000,32673,64434,64434,-4.353e-06,variant
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Bensin,2015,8,116983,145000,95532,157608,57226,95532,95532,-4.353e-06,variant
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Bensin,2016,6,154450,76000,149000,163374,15205,149000,131282,-4.353e-06,variant
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Bensin,2018,14,167000,81050,149000,191975,33416,149000,141950,-4.353e-06,variant
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Diesel,2010,16,44971,160400,33692,55725,15866,33692,33692,-4.353e-06,variant
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Diesel,2011,25,36942,156200,28900,49900,20034,30942,30942,-4.353e-06,variant
Alfa,Romeo Giulietta,ikke_klassifisert,Tohjul,Diesel,2012,5,41942,158000,39999,45000,15812,39999,35651,-4.353e-06,variant
Alfa,Romeo Junior,ikke_klassifisert,Tohjul,Elektrisk,2025,15,489000,8950,478950,498950,20391,478950,415650,-2.522e-06,global
Alfa,Romeo MiTo,ikke_klassifisert,Tohjul,Bensin,2010,34,31421,155000,24182,39000,11274,24182,24182,-3.89e-06,variant
Alfa,Romeo MiTo,ikke_klassifisert,Tohjul,Bensin,2011,5,22900,135475,19900,23000,8025,19900,19465,-3.89e-06,variant
Alfa,Romeo MiTo,ikke_klassifisert,Tohjul,Bensin,2012,10,31400,133228,20200,40900,18253,30900,26690,-3.89e-06,variant
Alfa,Romeo MiTo,ikke_klassifisert,Tohjul,Bensin,2013,13,36900,108000,29900,47900,13869,26421,26421,-3.89e-06,variant
Alfa,Romeo Spider,ikke_klassifisert,Tohjul,Bensin,1999,5,99000,97000,71900,99000,26402,71900,71900,0.0,variant
Alfa,Romeo Stelvio,ikke_klassifisert,Firehjul,Bensin,2017,11,324532,134000,294000,326950,33831,324532,275852,-1.843e-06,variant
Alfa,Romeo Stelvio,ikke_klassifisert,Firehjul,Bensin,2018,11,298000,101533,282216,349350,48969,282216,253300,-1.843e-06,variant
Alfa,Romeo Stelvio,ikke_klassifisert,Firehjul,Bensin,2019,16,424000,67500,398975,437500,50065,398975,360400,-1.843e-06,variant
Alfa,Romeo Stelvio,ikke_klassifisert,Firehjul,Bensin,2023,13,669900,53450,629900,699000,44877,629900,569415,-1.843e-06,variant
Alfa,Romeo Stelvio,ikke_klassifisert,Firehjul,Diesel,2017,14,282450,108750,268425,288000,20862,268425,240082,-1.843e-06,variant
Alfa,Romeo Stelvio,ikke_klassifisert,Firehjul,Diesel,2018,23,289900,132000,279450,319000,30449,289900,246415,-1.843e-06,variant
Alfa,Romeo Stelvio,ikke_klassifisert,Firehjul,Diesel,2019,36,362450,85400,343650,396000,40323,343650,308082,-1.843e-06,variant
Alfa,Romeo Stelvio,ikke_klassifisert,Firehjul,Diesel,2020,6,464000,73000,441500,486500,29014,441500,394400,-1.843e-06,variant
Alfa,Romeo Stelvio,ikke_klassifisert,Firehjul,Diesel,2021,12,514500,70000,479900,531500,42048,479900,437325,-1.843e-06,variant
Alfa,Romeo Stelvio,ikke_klassifisert,Firehjul,Diesel,2024,10,749900,12500,739900,784900,43321,739900,637415,-1.843e-06,variant
Alfa,Romeo Stelvio Quadrifoglio,ikke_klassifisert,Firehjul,Bensin,2018,8,749450,80000,736725,762175,28385,736725,637032,-1.808e-06,variant
Alfa,Romeo Stelvio Quadrifoglio,ikke_klassifisert,Firehjul,Bensin,2020,6,992500,52500,951750,995000,28339,951750,843625,-1.808e-06,variant
Alpina,B4,ikke_klassifisert,Firehjul,Bensin,2014,6,584450,110800,554900,636500,52853,554900,496782,-2.522e-06,global
Aston,Martin DB9,ikke_klassifisert,Tohjul,Bensin,2005,6,664000,82000,612175,731500,72685,612175,564400,-2.522e-06,global
Aston,Martin DBX,ikke_klassifisert,Firehjul,Bensin,2021,10,1839000,47500,1825000,1879750,38771,1825000,1563150,-2.522e-06,global
Aston,Martin DBX,ikke_klassifisert,Firehjul,Bensin,2023,7,2799000,48600,2645000,2945000,195969,2645000,2379150,-2.522e-06,global
Aston,Martin Rapide,ikke_klassifisert,Tohjul,Bensin,2010,27,829000,55000,809000,848500,46144,809000,704650,-1.843e-06,variant
Aston,Martin V8 Vantage,ikke_klassifisert,Tohjul,Bensin,2025,5,3490000,1080,3390000,3790000,260768,3390000,2966500,0.0,variant
Audi,100,ikke_klassifisert,Firehjul,Bensin,1992,5,69999,241812,30000,121900,84463,30000,30000,-2.297e-06,variant
Audi,100,ikke_klassifisert,Tohjul,Bensin,1993,5,36942,280000,30000,66900,24043,30000,30000,-2.297e-06,variant
Audi,50,ikke_klassifisert,Firehjul,Elektrisk,2021,17,309000,88000,289900,339900,45729,308000,262650,-3.13e-06,variant
Audi,50,ikke_klassifisert,Firehjul,Elektrisk,2022,68,329450,80235,299675,359000,36278,306000,280032,-3.13e-06,variant
Audi,50,ikke_klassifisert,Firehjul,Elektrisk,2023,12,389400,59250,361500,399225,38241,361500,330990,-3.13e-06,variant
Audi,80,ikke_klassifisert,Tohjul,Bensin,1992,17,31900,238500,25900,48777,18496,31900,27115,-2.923e-06,variant
Audi,80,ikke_klassifisert,Tohjul,Bensin,1994,7,31000,215000,25950,54421,53159,25950,25950,-2.923e-06,variant
Audi,80,ikke_klassifisert,Tohjul,Bensin,1998,6,49421,179000,43192,66900,33517,43192,42008,-2.923e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2011,185,59900,147000,39942,79800,26654,53421,50915,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2012,173,66942,138900,49900,88900,28976,66942,56901,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2013,158,79900,123200,60725,99000,28620,72971,67915,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2014,113,84000,125000,68166,99900,25655,84000,71400,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2015,29,124900,102880,110236,129900,24004,119450,106165,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2016,86,119000,89853,100000,136725,23921,119000,101150,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2017,35,139000,94025,129000,149000,21040,139000,118150,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2018,44,149900,97452,133236,159900,17750,133236,127415,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2019,34,199000,91000,188250,237425,44738,194000,169150,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2020,8,193618,95650,181750,206725,21187,181750,164575,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2021,24,239500,65000,216500,259900,39110,239450,203575,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2022,28,289900,38400,269900,292150,24220,269900,246415,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Bensin,2023,8,309900,27366,299675,309900,17803,299675,263415,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Diesel,2010,7,38942,172000,36942,40471,8358,36942,33101,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Diesel,2011,92,49921,156400,41886,59954,15651,41900,41900,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Diesel,2012,44,69450,146544,50682,79600,20885,62970,59032,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Diesel,2013,31,79900,146900,68500,102400,27877,69450,67915,-3.102e-06,variant
Audi,A1,ikke_klassifisert,Tohjul,Diesel,2014,10,79500,123250,71500,97836,18282,71500,67575,-3.102e-06,variant
Audi,A2,ikke_klassifisert,Tohjul,Bensin,2001,26,26400,193816,13775,34067,12022,20421,20421,-1.932e-06,variant
Audi,A2,ikke_klassifisert,Tohjul,Bensin,2003,9,34942,165000,18000,45942,17470,27471,27471,-1.932e-06,variant
Audi,A2,ikke_klassifisert,Tohjul,Bensin,2004,6,30921,166500,28400,34910,14627,30921,26283,-1.932e-06,variant
Audi,A2,ikke_klassifisert,Tohjul,Bensin,2005,9,31942,177841,25000,39900,18005,25000,25000,-1.932e-06,variant
Audi,A2,ikke_klassifisert,Tohjul,Diesel,2001,5,26942,229000,21942,31899,6985,21942,21942,-1.932e-06,variant
Audi,A2,ikke_klassifisert,Tohjul,Diesel,2002,5,35000,228274,15000,49000,18118,15000,15000,-1.932e-06,variant
Audi,A2,ikke_klassifisert,Tohjul,Diesel,2004,7,31942,247000,26921,34192,9238,26942,26942,-1.932e-06,variant
Audi,A2,ikke_klassifisert,Tohjul,Diesel,2005,6,30371,171069,26225,31667,8661,30371,25815,-1.932e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,1998,13,25000,215500,11900,31900,27498,11900,11900,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2000,12,23471,155000,18986,30160,11983,19942,19942,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Bensin,2001,6,35921,253150,28182,46736,13921,28182,28182,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2002,6,25921,193750,13275,26986,9217,13275,13275,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Bensin,2003,7,26942,227000,24450,30721,5632,24450,22901,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2003,14,23921,168313,17910,28410,9655,17910,17910,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2004,19,19942,181000,12900,27900,21016,19942,16951,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Bensin,2005,7,101900,142055,29421,120450,55231,29421,29421,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2005,122,20721,196450,12097,29978,13169,20721,17613,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Bensin,2006,5,31942,250000,29500,32942,5442,29500,27151,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2006,116,22950,183000,14660,34999,13860,21942,19508,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2007,89,22900,192012,12000,29990,15334,16900,16900,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2008,38,32900,164500,19942,41932,22111,32900,27965,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2009,52,46921,182000,29942,60432,36152,39000,39000,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2010,56,49900,180579,38486,69900,24664,42942,42415,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2011,53,69000,154000,41942,84000,27217,59000,58650,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2012,82,69700,153800,49900,83546,26384,59471,59245,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Bensin,2013,5,219000,74000,169000,249942,80768,169000,169000,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2013,188,91942,157500,69675,109900,29314,59000,59000,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Bensin,2014,40,169495,136845,152925,189736,34270,169495,144071,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2014,348,112188,141950,89900,129900,29939,109000,95360,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Bensin,2015,39,179900,142016,159000,224667,37739,179900,152915,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2015,234,124421,134000,103735,142649,42828,124421,105758,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2016,70,129900,133000,109925,159000,41718,117000,110415,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Bensin,2017,47,259900,101307,228000,287400,41085,259900,220915,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2017,69,162843,117500,149000,189900,36435,162843,138417,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Bensin,2018,31,299900,98000,294950,314850,29203,299900,254915,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2018,79,179990,97300,159000,214167,37689,179990,152992,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2019,60,199900,83700,192649,219305,21001,199900,169915,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Bensin,2020,8,226500,109000,194000,249000,41595,194000,192525,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2004,6,30421,188900,24942,42725,13977,24942,24942,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2005,34,16650,247448,11910,29932,14123,11221,11221,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2006,30,30950,246885,21869,41432,42827,29392,26308,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2006,33,21942,228000,13942,38000,24432,21942,18651,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2007,23,29000,224000,18442,44921,19355,21942,21942,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2007,117,28942,225000,18400,36942,13660,24421,24421,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2008,21,30000,229000,21900,58942,20625,30000,25500,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2008,220,29971,209730,19986,39900,16422,29450,25475,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2009,21,41942,215845,35000,51900,20773,39942,35651,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2009,106,41920,197027,26556,56375,28512,31777,31777,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2010,22,50950,226400,37692,59160,22852,36942,36942,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2010,218,41900,192000,29900,54990,19898,33942,33942,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2011,12,110000,109100,77975,159000,44115,77975,77975,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2011,173,51942,186000,36942,69442,21145,46900,44151,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2012,28,77850,198500,58932,87456,22167,58932,58932,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2012,150,59000,163460,42300,71660,24473,50471,50150,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2013,20,129950,170000,124925,166900,26869,129950,110458,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2013,77,89942,171000,75000,109900,27742,81442,76451,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2014,90,148991,158000,127206,179675,43527,148991,126642,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2014,62,101942,180500,89000,126748,29630,100471,86651,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2015,59,159990,124000,139766,189217,37968,159000,135992,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2015,37,131942,147000,110000,148000,24725,129900,112151,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2016,52,159450,150600,134784,207242,54785,159450,135532,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2016,19,132000,139485,121766,149900,25883,132000,112200,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2017,19,229900,139000,199667,269000,40934,199667,195415,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Diesel,2017,10,174450,124500,154000,209808,50649,154000,148282,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Firehjul,Diesel,2018,5,310000,73000,259000,319000,36581,259000,259000,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Hybrid,2015,120,129900,144250,119000,139990,25462,129900,110415,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Hybrid,2016,231,139000,133000,125000,154766,24950,139000,118150,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Hybrid,2017,205,159500,110000,139900,178000,26221,139000,135575,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Hybrid,2018,201,169900,99500,149999,185000,24043,169000,144415,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Hybrid,2020,42,219900,84390,191224,249000,36413,209945,186915,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Hybrid,2021,17,309900,61000,299000,329900,27167,299000,263415,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Plug-in hybrid,2015,101,128000,139000,110000,139000,20361,128000,108800,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Plug-in hybrid,2016,232,129716,126500,114900,148225,24190,129217,110259,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Plug-in hybrid,2017,183,149900,115000,139000,166500,21381,149900,127415,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Plug-in hybrid,2018,268,164483,100250,148975,179000,26177,159532,139811,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Plug-in hybrid,2020,36,224450,73653,198000,249225,33405,198000,190782,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Plug-in hybrid,2021,104,299000,52427,288000,329000,27119,299000,254150,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Plug-in hybrid,2022,12,322167,39600,307400,359225,39514,322167,273842,-2.925e-06,variant
Audi,A3,ikke_klassifisert,Tohjul,Plug-in hybrid,2023,21,379900,30970,349000,399000,31296,349000,322915,-2.925e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,1996,5,21900,216321,14942,32500,9761,14942,14942,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,1996,9,21000,175000,11900,31000,10923,21000,17850,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,1997,5,11942,277360,9942,13900,3474,11942,10151,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,1998,7,20000,254000,17421,21950,13645,17421,17000,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,1999,13,31942,268359,26942,61942,34656,31942,27151,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,1999,10,17872,188398,12917,31442,10869,17872,15191,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2000,14,43471,267725,24486,60650,61239,40000,36950,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2000,6,16400,194970,12182,21432,15110,15921,13940,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2001,7,9999,217688,9150,11824,5604,9999,8499,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2002,17,34942,251282,18942,36900,32388,28450,28450,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2002,25,16900,256000,11942,23942,13832,16900,14365,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2003,10,35921,228542,22067,48400,14549,35921,30533,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2003,32,34400,207000,19410,53192,31228,34400,29240,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2004,37,46942,219238,29942,98000,67157,38942,38942,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2004,54,26942,208700,13192,57986,44048,19150,19150,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2005,31,43900,240780,20950,57421,20289,30900,30900,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2005,38,22921,192400,12442,35706,15681,21942,19483,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2006,41,59942,197000,36942,145000,83324,59471,50951,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2006,26,27950,201750,22682,38432,18538,25900,23758,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2007,21,31942,263579,16942,54990,32488,16692,16692,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2007,40,38966,188300,26275,77682,30465,30692,30692,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2008,35,39990,182313,19942,67971,45930,19392,19392,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2009,33,49942,220402,35900,79950,35107,49942,42451,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2009,109,49000,208000,31900,63942,22550,49000,41650,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2010,17,56900,187779,43900,89900,26030,56900,48365,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2010,57,46942,188000,31942,66942,25735,46942,39901,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2011,13,81900,197500,51942,109999,40167,81900,69615,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2011,53,66900,188500,55000,79990,27581,54500,54500,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2012,8,134500,157280,99499,139000,48275,99499,99499,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2012,26,96864,156000,63900,108500,39516,96864,82334,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2013,13,129900,177000,81900,139900,37777,81900,81900,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2013,79,90942,176700,72921,119900,33796,90942,77301,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2014,10,149495,183500,139464,174742,31744,139464,127071,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2014,27,109900,152669,90721,128000,28517,109900,93415,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2015,6,139450,130550,139000,140682,21424,139000,118532,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2015,32,129900,148598,117284,146307,24782,129900,110415,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Bensin,2016,9,299000,130500,285000,313434,42429,285000,254150,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2016,42,188766,125000,169133,199808,27830,184532,160451,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2017,89,169900,137995,159900,189000,26153,169900,144415,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2018,76,199900,112750,173300,219900,28937,199450,169915,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Bensin,2019,34,234950,104150,219000,242624,19712,229000,199708,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Diesel,2001,6,53421,176825,50432,63940,17109,49942,45408,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Firehjul,Diesel,2002,7,19442,365000,14950,29950,10373,17721,16526,-2.806e-06,variant
Audi,A4,ikke_klassifisert,Tohjul,Diesel,2002,17,17000,294350,13942,24900,6288,13942,13942,-2.806e-06,variant
